,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
1738,2,2,8,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1,0
5102,2,3,9,0,2,1,0,0,7,0,1,1,1,4,4,0,2,1,2,1,5,0,1
7174,3,3,4,0,2,1,0,1,0,1,0,2,1,6,7,0,2,1,0,7,4,2,1
3534,2,3,4,1,5,1,0,0,7,1,1,2,2,6,7,0,2,1,4,2,4,0,0
5045,2,0,3,0,2,1,0,0,3,0,1,1,1,4,6,0,2,1,2,1,4,0,1
4860,2,2,0,1,5,1,0,0,10,0,0,2,2,2,7,0,2,2,0,7,1,6,0
3765,2,3,2,1,5,1,0,0,10,1,1,2,2,6,7,0,2,1,4,2,4,0,0
4717,2,3,7,0,5,1,0,1,9,0,0,2,0,7,7,0,2,1,1,1,4,0,0
2827,2,0,4,1,5,1,0,0,5,1,1,2,2,7,3,0,2,1,4,2,4,0,0
1684,2,2,8,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,2,3,1,0
5300,2,2,3,1,2,1,0,0,10,1,1,0,2,7,7,0,2,1,4,1,4,1,1
1338,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1,0
6598,2,2,2,0,8,1,0,1,0,1,0,2,2,6,6,0,2,1,0,7,4,4,1
2742,5,0,2,1,5,1,0,0,9,1,1,2,2,7,7,0,2,1,4,2,5,0,0
3934,2,0,9,0,2,1,0,0,3,0,1,1,1,0,0,0,2,1,2,1,4,4,1
6662,3,2,4,0,7,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,4,1
5015,3,2,0,1,5,1,0,0,10,0,0,2,2,7,2,0,2,2,0,7,1,6,0
6531,3,3,4,0,2,1,0,1,0,1,0,2,1,6,7,0,2,1,0,7,4,0,1
2902,5,0,3,1,5,1,0,0,5,1,1,2,2,6,7,0,2,1,4,3,4,0,0
2258,5,3,2,1,5,1,0,0,9,1,1,2,2,6,7,0,2,1,4,3,4,0,0
4991,5,0,9,0,2,1,0,0,7,0,1,1,1,4,6,0,2,1,2,1,5,0,1
2986,5,0,3,1,5,1,0,0,10,1,1,2,2,3,6,0,2,1,4,2,5,0,0
4939,3,2,0,1,5,1,0,0,10,0,0,2,2,2,7,0,2,2,0,7,1,6,0
4078,2,3,9,0,2,1,0,0,7,0,1,1,1,6,6,0,2,1,2,1,4,1,1
6687,3,3,2,0,7,1,0,1,0,1,0,2,2,7,7,0,2,1,0,7,4,4,1
4151,5,3,3,0,2,1,0,0,3,0,1,1,1,0,4,0,2,1,2,1,4,1,1
4480,2,3,4,1,5,1,0,0,7,1,1,2,2,7,6,0,2,1,4,2,5,0,0
1564,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3,0
7370,5,3,5,1,5,1,0,0,10,0,1,2,2,7,7,0,2,2,4,7,4,4,0
4746,5,3,3,0,2,1,0,0,2,0,1,1,1,0,6,0,2,1,2,1,5,0,1
5933,5,3,4,0,2,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,4,1
7179,3,2,4,0,7,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,4,1
2185,2,3,4,1,5,1,0,0,7,1,1,2,2,7,3,0,2,1,4,2,5,0,0
4288,5,0,9,0,2,1,0,0,2,0,1,1,1,0,0,0,2,1,2,1,4,0,1
1231,2,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,3,1,1
6967,0,2,4,0,5,1,0,0,10,0,1,3,3,4,4,0,2,2,4,7,5,0,0
1258,2,2,8,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,3,0,1,0
2254,5,3,4,1,5,1,0,0,10,1,1,2,2,7,7,0,2,1,4,2,4,0,0
1951,5,3,2,1,5,1,0,0,9,1,1,2,2,6,6,0,2,1,4,3,4,0,0
7552,3,2,8,0,5,1,1,0,7,0,0,1,1,7,7,0,2,2,4,7,3,1,0
113,5,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3,0
6890,2,2,4,0,7,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,2,1
2509,2,0,4,1,5,1,0,0,10,1,1,2,2,7,3,0,2,1,4,2,4,0,0
5956,5,3,4,0,7,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,4,1
7310,3,3,2,0,8,1,0,1,0,1,0,2,1,7,7,0,2,1,0,7,4,2,1
4534,2,3,0,1,5,1,0,0,1,0,0,2,2,2,2,0,2,2,0,7,1,6,0
2548,5,0,2,1,5,1,0,0,7,1,1,2,2,3,6,0,2,1,4,2,4,0,0
5519,5,3,4,0,7,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,2,1
507,2,2,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,0,1,0
4454,5,3,3,0,2,1,0,0,7,0,1,1,1,6,4,0,2,1,2,1,4,4,1
4160,5,3,3,0,2,1,0,0,2,0,1,1,1,6,0,0,2,1,2,1,5,1,1
5815,5,3,4,0,7,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,2,1
7791,0,2,4,0,5,0,0,0,11,0,0,2,2,5,5,0,1,1,4,0,1,2,0
4587,5,0,9,0,2,1,0,0,7,0,1,1,1,6,4,0,2,1,2,1,4,1,1
7795,3,2,8,0,5,1,1,0,7,0,0,2,1,7,7,0,2,2,4,7,2,1,0
4323,2,3,3,0,2,1,0,0,7,0,1,1,1,4,0,0,2,1,2,1,5,1,1
2850,5,3,4,1,5,1,0,0,10,1,1,2,2,3,6,0,2,1,4,2,5,0,0
4761,5,3,3,0,2,1,0,0,2,0,1,1,1,6,4,0,2,1,2,1,4,0,1
4334,5,3,3,0,2,1,0,0,3,0,1,1,1,0,6,0,2,1,2,1,5,1,1
7645,3,3,2,0,7,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,4,1
350,2,2,3,0,5,1,1,0,3,1,3,0,0,7,7,0,2,1,0,3,0,1,0
4817,5,3,4,0,7,1,0,1,0,1,0,2,1,7,6,0,2,1,0,7,4,4,1
2906,5,0,3,1,5,1,0,0,5,1,1,2,2,6,3,0,2,1,4,2,5,0,0
4421,5,0,9,0,2,1,0,0,7,0,1,1,1,6,0,0,2,1,2,1,5,0,1
4557,5,3,7,0,5,1,0,1,9,0,0,2,0,7,7,0,2,1,1,1,4,0,0
2505,5,3,2,1,5,1,0,0,9,1,1,2,2,6,6,0,2,1,4,3,5,0,0
2620,2,0,4,1,5,1,0,0,9,1,1,2,2,3,3,0,2,1,4,3,4,0,0
4407,2,0,3,0,2,1,0,0,2,0,1,1,1,6,4,0,2,1,2,1,4,4,1
1114,2,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,1,0
2846,5,3,3,1,5,1,0,0,9,1,1,2,2,6,6,0,2,1,4,2,5,0,0
5743,3,3,5,1,5,1,0,0,1,0,0,2,2,2,2,0,2,2,0,7,1,6,0
298,2,2,9,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0,0
1675,5,2,3,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,2,0,1,0
6447,5,2,4,0,8,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,0,1
7697,3,3,2,0,2,1,0,1,0,1,0,2,1,7,6,0,2,1,0,7,4,2,1
6496,2,2,2,0,8,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,0,1
6195,5,3,2,0,7,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,4,1
6626,5,2,4,0,8,1,0,1,0,1,0,2,1,6,7,0,2,1,0,7,4,0,1
5649,2,3,5,1,5,1,0,0,10,0,0,2,2,2,7,0,2,2,0,7,1,6,0
3779,2,3,4,1,5,1,0,0,10,1,1,2,2,3,6,0,2,1,4,2,5,0,0
229,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1,0
76,5,2,8,1,3,1,1,1,5,1,1,2,2,7,7,0,2,1,4,6,4,0,0
4424,2,0,2,1,5,1,0,0,5,1,1,2,2,3,3,0,2,1,4,2,5,0,0
5646,2,2,8,1,2,1,0,0,10,1,1,0,2,7,7,0,2,1,4,1,4,5,1
7909,5,0,3,0,5,1,1,0,7,0,0,2,2,7,7,0,2,2,4,7,3,1,0
6155,3,2,4,0,8,1,0,1,0,1,0,2,2,7,6,0,2,1,0,7,4,0,1
2103,5,0,2,1,5,1,0,0,7,1,1,2,2,6,3,0,2,1,4,3,5,0,0
6388,2,2,4,0,8,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,2,1
3707,5,0,3,0,1,1,0,1,9,0,1,2,2,7,7,0,2,1,4,3,3,0,1
6215,3,3,2,0,7,1,0,1,0,1,0,2,1,7,7,0,2,1,0,7,4,2,1
3605,5,2,3,0,1,1,0,1,2,0,1,2,2,7,7,0,2,1,4,2,4,0,1
5636,2,0,9,0,2,1,0,0,2,0,1,1,1,4,6,0,2,1,2,1,4,4,1
5433,5,2,0,1,2,1,0,0,10,1,1,0,2,7,7,0,2,1,4,1,3,1,1
1614,2,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1,1
607,2,3,4,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,1,0
3968,5,0,9,0,2,1,0,0,7,0,1,1,1,6,4,0,2,1,2,1,5,4,1
4803,2,3,3,0,2,1,0,0,2,0,1,1,1,0,4,0,2,1,2,1,5,1,1
1093,2,0,9,1,3,1,1,1,5,1,1,2,2,7,7,0,2,1,4,6,4,0,0
4391,2,3,3,0,2,1,0,0,3,0,1,1,1,0,4,0,2,1,2,1,5,4,1
2622,5,0,4,1,5,1,0,0,5,1,1,2,2,7,3,0,2,1,4,3,5,0,0
6578,5,2,4,0,2,1,0,1,0,1,0,2,2,7,6,0,2,1,0,7,4,0,1
7977,3,2,4,0,5,0,0,0,6,0,0,2,2,5,5,0,1,1,4,4,4,2,0
7712,5,2,8,0,5,1,1,0,2,0,0,2,1,7,7,0,2,2,4,7,3,1,0
203,5,0,8,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,2,3,1,0
2387,5,0,4,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,2,0,1,0
4291,3,2,5,1,5,1,0,0,1,0,0,2,2,7,2,0,2,2,0,7,1,6,0
7737,3,2,4,0,5,0,0,0,6,0,0,2,2,5,5,0,0,1,4,8,4,2,0
837,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,3,5,1
2934,5,3,4,1,5,1,0,0,10,1,1,2,2,3,3,0,2,1,4,2,4,0,0
7899,3,2,2,0,8,1,0,1,0,1,0,2,2,6,7,0,2,1,0,7,4,0,1
8057,5,2,4,0,5,0,0,0,6,0,0,2,2,5,5,0,0,1,4,4,4,2,0
1230,5,0,4,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,3,3,1,0
6171,3,2,4,0,2,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,4,1
5483,5,3,4,0,8,1,0,1,0,1,0,1,2,6,7,0,2,1,0,7,4,4,1
1609,5,2,4,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,3,3,1,0
7601,3,3,2,0,2,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,2,1
7851,3,2,2,0,2,1,0,1,0,1,0,1,2,6,7,0,2,1,0,7,4,0,1
5113,2,3,5,1,5,1,0,0,10,0,0,2,2,7,2,0,2,2,0,7,1,6,0
6836,2,2,4,0,2,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,2,1
5780,5,3,4,0,8,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,2,1
2732,5,3,3,1,5,1,0,0,10,1,1,2,2,3,6,0,2,1,4,3,5,0,0
7103,0,2,8,0,5,1,1,0,7,0,0,2,1,7,7,0,2,2,4,7,3,1,0
3412,2,0,3,1,5,1,0,0,10,1,1,2,2,7,6,0,2,1,4,2,4,0,0
7083,5,2,2,0,7,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,4,1
5391,2,2,8,1,2,1,0,0,7,1,1,2,0,7,7,0,2,1,4,1,4,1,1
7029,5,2,4,0,7,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,0,1
3297,2,3,4,1,5,1,0,0,5,1,1,2,2,7,7,0,2,1,4,2,4,0,0
3842,2,0,2,1,5,1,0,0,5,1,1,2,2,3,6,0,2,1,4,2,5,0,0
6200,2,3,2,0,2,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,2,1
4266,5,3,3,0,2,1,0,0,2,0,1,1,1,6,4,0,2,1,2,1,4,1,1
6664,2,2,4,0,8,1,0,1,0,1,0,2,2,6,6,0,2,1,0,7,4,0,1
4141,2,3,2,1,5,1,0,0,10,1,1,2,2,7,3,0,2,1,4,3,4,0,0
657,0,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,1,0
790,0,3,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1,0
4692,5,3,9,0,2,1,0,0,2,0,1,1,1,0,0,0,2,1,2,1,5,4,1
4951,2,2,0,1,5,1,0,0,10,0,0,2,2,7,7,0,2,2,0,7,1,6,0
6695,3,2,4,0,2,1,0,1,0,1,0,2,1,6,7,0,2,1,0,7,4,4,1
2561,2,0,4,1,5,1,0,0,9,1,1,2,2,7,6,0,2,1,4,2,5,0,0
5641,2,3,9,0,5,1,0,1,10,0,0,1,3,7,4,0,2,1,0,7,4,0,1
1359,2,2,8,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,2,3,1,0
5969,5,2,3,1,2,1,0,0,7,1,1,2,0,7,7,0,2,1,4,1,3,1,1
2347,2,3,3,1,5,1,0,0,10,1,1,2,2,3,3,0,2,1,4,3,5,0,0
5514,5,3,5,1,5,1,0,0,1,0,0,2,2,2,7,0,2,2,0,7,1,6,0
4126,5,3,9,0,2,1,0,0,3,0,1,1,1,0,6,0,2,1,2,1,4,4,1
2781,5,3,2,1,5,1,0,0,7,1,1,2,2,3,6,0,2,1,4,3,4,0,0
3347,2,3,3,1,5,1,0,0,10,1,1,2,2,7,7,0,2,1,4,3,5,0,0
5972,2,2,5,1,5,1,0,0,2,0,1,2,2,7,7,0,2,2,4,5,4,3,1
6173,2,2,2,0,2,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,2,1
6146,2,3,2,0,8,1,0,1,0,1,0,2,1,7,6,0,2,1,0,7,4,2,1
8074,0,0,3,0,5,1,1,0,10,0,0,1,1,7,7,0,2,2,4,7,2,1,0
3601,5,3,4,1,5,1,0,0,10,1,1,2,2,3,7,0,2,1,4,2,5,0,0
615,0,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1,0
2575,5,3,4,1,5,1,0,0,5,1,1,2,2,7,7,0,2,1,4,2,5,0,0
6213,2,3,2,0,7,1,0,1,0,1,0,2,1,6,7,0,2,1,0,7,4,0,1
2314,5,0,2,1,5,1,0,0,10,1,1,2,2,7,3,0,2,1,4,2,5,0,0
1705,5,0,4,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,2,3,1,0
6867,5,2,2,0,2,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,0,1
6727,2,2,2,0,8,1,0,1,0,1,0,1,1,7,7,0,2,1,0,7,4,2,1
6931,2,2,4,0,7,1,0,1,0,1,0,2,2,7,6,0,2,1,0,7,4,2,1
1780,5,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5,0
3482,2,0,2,1,5,1,0,0,5,1,1,2,2,7,6,0,2,1,4,2,5,0,0
803,0,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1,0
857,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1,0
4781,2,0,3,0,2,1,0,0,2,0,1,1,1,0,6,0,2,1,2,1,5,4,1
5441,5,3,4,0,7,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,2,1
990,5,2,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3,0
5465,5,3,4,0,8,1,0,1,0,1,0,2,2,6,6,0,2,1,0,7,4,4,1
4296,5,0,9,0,2,1,0,0,3,0,1,1,1,4,6,0,2,1,2,1,5,4,1
4985,2,0,3,0,2,1,0,0,2,0,1,1,1,0,0,0,2,1,2,1,4,1,1
5746,2,3,9,0,2,1,0,0,2,0,1,1,1,6,4,0,2,1,2,1,4,4,1
219,4,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5,0
6671,5,2,4,0,8,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,2,1
1288,5,0,4,1,5,1,0,0,7,1,1,2,2,7,3,0,2,1,4,2,5,0,0
3163,2,3,3,1,5,1,0,0,10,1,1,2,2,6,7,0,2,1,4,2,4,0,0
582,5,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1,0
2618,5,0,4,1,5,1,0,0,10,1,1,2,2,7,7,0,2,1,4,3,5,0,0
43,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1,1
1234,2,2,4,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,2,0,1,0
7470,3,2,4,0,2,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,4,1
6093,2,3,4,0,2,1,0,1,0,1,0,2,1,6,6,0,2,1,0,7,4,2,1
5902,2,3,3,0,2,1,0,0,7,0,1,1,1,0,4,0,2,1,2,1,5,0,1
7856,3,2,2,0,8,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,4,1
1892,5,2,4,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,0,1,0
5763,2,2,8,1,2,1,0,0,3,1,1,2,2,7,7,0,2,1,4,1,4,5,1
7216,3,3,4,0,7,1,0,1,0,1,0,2,2,6,7,0,2,1,0,7,4,4,1
4657,5,0,9,0,2,1,0,0,3,0,1,1,1,0,0,0,2,1,2,1,4,0,1
6712,2,2,2,0,2,1,0,1,0,1,0,2,1,6,7,0,2,1,0,7,4,4,1
1071,2,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,1,1
718,5,3,4,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,1,0
2364,5,0,2,1,5,1,0,0,10,1,1,2,2,7,3,0,2,1,4,2,4,0,0
1505,5,0,4,1,5,1,0,0,7,1,1,2,2,6,6,0,2,1,4,3,5,0,0
670,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1,0
4687,2,3,3,0,2,1,0,0,3,0,1,1,1,4,6,0,2,1,2,1,4,0,1
2952,5,0,2,1,5,1,0,0,9,1,1,2,2,6,7,0,2,1,4,2,5,0,0
4913,5,3,9,0,2,1,0,0,3,0,1,1,1,6,6,0,2,1,2,1,5,4,1
6497,2,2,2,0,2,1,0,1,0,1,0,2,1,7,6,0,2,1,0,7,4,0,1
7738,3,3,4,0,7,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,4,1
897,5,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,3,0
6537,2,3,4,0,7,1,0,1,0,1,0,2,2,7,6,0,2,1,0,7,4,2,1
2666,5,3,4,1,5,1,0,0,5,1,1,2,2,7,3,0,2,1,4,3,4,0,0
3193,2,0,9,0,2,1,0,0,7,0,1,1,1,0,4,0,2,1,2,1,4,0,1
2890,5,0,4,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,0,1,0
7194,3,2,2,0,2,1,0,1,0,1,0,1,1,7,7,0,2,1,0,7,4,0,1
1530,2,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,3,5,1
3543,5,2,5,0,1,1,0,1,5,0,1,2,2,7,7,0,2,1,4,3,3,0,1
6791,5,2,2,0,7,1,0,1,0,1,0,2,1,6,6,0,2,1,0,7,4,2,1
4679,2,3,3,0,2,1,0,0,2,0,1,1,1,4,0,0,2,1,2,1,5,0,1
7479,0,0,3,0,5,1,1,0,10,0,0,1,1,7,7,0,2,2,4,7,3,1,0
7866,5,2,4,0,5,0,0,0,6,0,0,2,2,5,5,0,1,1,4,0,4,2,0
4237,2,0,9,0,2,1,0,0,3,0,1,1,1,0,4,0,2,1,2,1,4,0,1
3875,5,0,3,1,5,1,0,0,10,1,1,2,2,6,3,0,2,1,4,2,4,0,0
3473,5,0,3,0,2,1,0,0,3,0,1,1,1,4,0,0,2,1,2,1,4,4,1
6199,2,3,2,0,8,1,0,1,0,1,0,2,1,6,7,0,2,1,0,7,4,0,1
1874,5,3,2,1,5,1,0,0,10,1,1,2,2,3,3,0,2,1,4,3,4,0,0
2370,5,0,4,1,5,1,0,0,10,1,1,2,2,6,7,0,2,1,4,2,5,0,0
1769,5,3,9,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,5,1,0
7393,3,3,4,0,8,1,0,1,0,1,0,2,2,6,6,0,2,1,0,7,4,4,1
4857,2,0,3,0,2,1,0,0,7,0,1,1,1,4,4,0,2,1,2,1,4,4,1
1983,5,2,8,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,3,1,0
531,5,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1,0
5829,2,3,9,0,2,1,0,0,7,0,1,1,1,4,0,0,2,1,2,1,5,0,1
6133,2,3,2,0,8,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,4,1
7966,0,2,8,0,5,1,1,0,7,0,0,2,1,7,7,0,2,2,4,7,2,1,0
2881,5,2,8,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,2,3,1,0
81,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,3,1,1
8042,5,2,4,0,5,0,0,0,11,0,0,2,2,5,5,0,1,1,4,0,1,2,0
6609,5,3,2,0,2,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,2,1
6670,2,2,4,0,7,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,4,1
2163,5,3,4,1,5,1,0,0,9,1,1,2,2,7,6,0,2,1,4,2,5,0,0
731,5,0,4,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,3,3,1,0
2339,5,3,2,1,5,1,0,0,5,1,1,2,2,6,6,0,2,1,4,3,5,0,0
7948,3,3,4,0,8,1,0,1,0,1,0,2,1,6,6,0,2,1,0,7,4,2,1
2232,5,0,3,1,5,1,0,0,7,1,1,2,2,7,7,0,2,1,4,3,5,0,0
5062,5,3,3,0,2,1,0,0,7,0,1,1,1,0,6,0,2,1,2,1,5,4,1
3745,2,0,2,1,5,1,0,0,7,1,1,2,2,3,6,0,2,1,4,2,4,0,0
7660,3,2,4,0,8,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,0,1
5151,2,3,4,1,5,1,0,0,10,0,0,2,2,7,2,0,2,2,0,7,1,6,0
4920,2,0,3,0,2,1,0,0,3,0,1,1,1,6,4,0,2,1,2,1,4,1,1
3295,5,2,8,0,1,1,1,1,5,0,1,2,2,7,7,0,2,1,4,3,3,0,1
5235,2,3,9,0,2,1,0,0,7,0,1,1,1,4,0,0,2,1,2,1,4,0,1
6591,2,3,4,0,7,1,0,1,0,1,0,1,2,6,7,0,2,1,0,7,4,0,1
2705,5,3,4,1,5,1,0,0,10,1,1,2,2,7,3,0,2,1,4,2,4,0,0
1255,5,2,8,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,0,1,0
2104,2,0,4,1,5,1,0,0,10,1,1,2,2,3,6,0,2,1,4,3,5,0,0
7042,3,3,4,0,8,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,0,1
5304,5,3,4,0,2,1,0,1,0,1,0,2,1,6,6,0,2,1,0,7,4,2,1
4477,2,3,3,0,2,1,0,0,7,0,1,1,1,6,4,0,2,1,2,1,5,4,1
898,5,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3,0
428,5,2,8,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,2,0,1,0
5627,2,3,9,0,2,1,0,0,2,0,1,1,1,0,0,0,2,1,2,1,4,4,1
4030,5,3,9,0,2,1,0,0,7,0,1,1,1,6,6,0,2,1,2,1,5,0,1
6724,5,3,2,0,7,1,0,1,0,1,0,2,1,7,6,0,2,1,0,7,4,2,1
7354,0,2,8,0,5,1,1,0,2,0,0,2,1,7,7,0,2,2,4,7,2,1,0
1222,5,0,3,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,3,0,1,0
3375,2,0,3,1,5,1,0,0,9,1,1,2,2,7,3,0,2,1,4,2,4,0,0
6301,3,3,4,0,8,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,4,1
5838,2,2,3,1,2,1,0,0,7,1,1,0,2,7,7,0,2,1,4,1,3,5,1
5229,5,3,4,0,2,1,0,1,0,1,0,2,2,7,6,0,2,1,0,7,4,2,1
6584,2,2,4,0,7,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,2,1
6138,5,2,2,0,8,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,4,1
1621,2,0,3,0,5,1,1,0,5,1,3,0,0,7,7,0,2,1,0,2,0,1,0
7256,3,3,2,0,2,1,0,1,0,1,0,2,2,7,6,0,2,1,0,7,4,0,1
3164,5,0,3,0,2,1,0,0,2,0,1,1,1,4,6,0,2,1,2,1,4,4,1
4176,2,0,3,1,5,1,0,0,10,1,1,2,2,6,7,0,2,1,4,2,5,0,0
6485,2,2,2,0,8,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,4,1
1096,5,0,3,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,2,0,1,0
2715,5,3,4,1,5,1,0,0,7,1,1,2,2,3,7,0,2,1,4,2,5,0,0
2072,5,0,3,1,5,1,0,0,10,1,1,2,2,6,6,0,2,1,4,3,5,0,0
7338,3,3,4,0,2,1,0,1,0,1,0,2,1,6,6,0,2,1,0,7,4,4,1
7484,3,2,4,0,7,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,2,1
6408,5,3,2,0,7,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,2,1
3340,2,3,2,1,5,1,0,0,5,1,1,2,2,7,3,0,2,1,4,2,5,0,0
6848,2,2,2,0,2,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,2,1
2588,2,0,4,1,5,1,0,0,10,1,1,2,2,3,3,0,2,1,4,3,4,0,0
1788,5,2,3,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,3,3,1,0
7159,5,2,4,0,7,1,0,1,0,1,0,2,2,7,6,0,2,1,0,7,4,2,1
7572,3,2,4,0,8,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,4,1
528,5,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,5,5,0
4149,2,3,3,0,2,1,0,0,7,0,1,1,1,4,6,0,2,1,2,1,4,4,1
192,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3,0
6985,3,2,2,0,8,1,0,1,0,1,0,1,2,6,7,0,2,1,0,7,4,4,1
1126,2,2,8,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,2,0,1,0
3570,2,0,3,0,2,1,0,0,7,0,1,1,1,4,6,0,2,1,2,1,5,0,1
